"chan2_id","chan1_id","dma1_id","chan2_name","chan1_name","dma1_name","bdgt_id","cps"
6,1,1,"Affiliates","Freedom","National","6_1_1",""
6,2,1,"Affiliates","Ink","National","6_2_1",""
6,3,1,"Affiliates","Sapphire","National","6_3_1",""
6,4,1,"Affiliates","Slate","National","6_4_1",""
4,5,1,"Direct Mail","Consumer","National","4_5_1",""
4,5,1,"Direct Mail","Consumer","National","4_5_1",""
4,5,1,"Direct Mail","Consumer","National","4_5_1",""
4,5,1,"Direct Mail","Consumer","National","4_5_1",""
4,5,1,"Direct Mail","Consumer","National","4_5_1",""
4,5,1,"Direct Mail","Consumer","National","4_5_1",""
4,1,1,"Direct Mail","Freedom","National","4_1_1",""
4,2,1,"Direct Mail","Ink","National","4_2_1",""
4,3,1,"Direct Mail","Sapphire","National","4_3_1",""
4,4,1,"Direct Mail","Slate","National","4_4_1",""
5,18,1,"Magazine","Card Total","National","5_18_1",""
5,17,1,"Magazine","Retail Total","National","5_17_1",""
5,17,1,"Magazine","Retail Total","National","5_17_1",""
5,17,1,"Magazine","Retail Total","National","5_17_1",""
5,1,1,"Magazine","Freedom","National","5_1_1",""
5,3,1,"Magazine","Sapphire","National","5_3_1",""
9,6,1,"Newspaper","Business","National","9_6_1",""
9,18,1,"Newspaper","Card Total","National","9_18_1",""
9,17,1,"Newspaper","Retail Total","National","9_17_1",""
9,19,1,"Newspaper","Corporate Total","National","9_19_1",""
9,17,1,"Newspaper","Retail Total","National","9_17_1",""
9,17,1,"Newspaper","Retail Total","National","9_17_1",""
9,7,1,"Newspaper","Partner","National","9_7_1",""
1,6,1,"Online Display","Business","National","1_6_1",""
1,2,1,"Online Display","Ink","National","1_2_1",""
1,5,1,"Online Display","Consumer","National","1_5_1",""
1,16,1,"Online Display","Retail Other","National","1_16_1",""
1,17,1,"Online Display","Retail Total","National","1_17_1",""
1,17,1,"Online Display","Retail Total","National","1_17_1",""
1,17,1,"Online Display","Retail Total","National","1_17_1",""
1,1,1,"Online Display","Freedom","National","1_1_1",""
1,2,1,"Online Display","Ink","National","1_2_1",""
1,3,1,"Online Display","Sapphire","National","1_3_1",""
1,1,1,"Online Display","Freedom","National","1_1_1",""
1,3,1,"Online Display","Sapphire","National","1_3_1",""
2,6,1,"Online Video","Business","National","2_6_1",""
2,17,1,"Online Video","Retail Total","National","2_17_1",""
2,17,1,"Online Video","Retail Total","National","2_17_1",""
2,17,1,"Online Video","Retail Total","National","2_17_1",""
2,17,1,"Online Video","Retail Total","National","2_17_1",""
2,1,1,"Online Video","Freedom","National","2_1_1",""
2,3,1,"Online Video","Sapphire","National","2_3_1",""
16,17,1,"Outdoor","Retail Total","National","16_17_1",""
16,17,1,"Outdoor","Retail Total","National","16_17_1",""
16,17,1,"Outdoor","Retail Total","National","16_17_1",""
7,5,1,"Paid Search","Consumer","National","7_5_1",""
7,17,1,"Paid Search","Retail Total","National","7_17_1",""
7,17,1,"Paid Search","Retail Total","National","7_17_1",""
7,17,1,"Paid Search","Retail Total","National","7_17_1",""
7,17,1,"Paid Search","Retail Total","National","7_17_1",""
7,5,1,"Paid Search","Consumer","National","7_5_1",""
7,8,1,"Paid Search","Multicard","National","7_8_1",""
7,2,1,"Paid Search","Ink","National","7_2_1",""
7,8,1,"Paid Search","Multicard","National","7_8_1",""
7,8,1,"Paid Search","Multicard","National","7_8_1",""
7,7,1,"Paid Search","Partner","National","7_7_1",""
7,8,1,"Paid Search","Multicard","National","7_8_1",""
7,7,1,"Paid Search","Partner","National","7_7_1",""
8,6,1,"Radio","Business","National","8_6_1",""
8,5,1,"Radio","Consumer","National","8_5_1",""
8,5,1,"Radio","Consumer","National","8_5_1",""
8,5,1,"Radio","Consumer","National","8_5_1",""
3,5,1,"Television","Consumer","National","3_5_1",""
3,2,1,"Television","Ink","National","3_2_1",""
3,18,1,"Television","Card Total","National","3_18_1",""
3,17,1,"Television","Retail Total","National","3_17_1",""
3,17,1,"Television","Retail Total","National","3_17_1",""
3,18,1,"Television","Card Total","National","3_18_1",""
3,5,1,"Television","Consumer","National","3_5_1",""
3,5,1,"Television","Consumer","National","3_5_1",""
3,5,1,"Television","Consumer","National","3_5_1",""
3,1,1,"Television","Freedom","National","3_1_1",""
3,3,1,"Television","Sapphire","National","3_3_1",""
3,2,1,"Television","Ink","National","3_2_1",""
3,1,1,"Television","Freedom","National","3_1_1",""
3,3,1,"Television","Sapphire","National","3_3_1",""
3,1,1,"Television","Freedom","National","3_1_1",""
17,17,1,"Trade Magazine","Retail Total","National","17_17_1",""
