"chan2_name","sales1_name","chan1_name","dma1_name"
"Affiliates","Freedom Card - New Applications","Freedom","National"
"Affiliates","Ink Card - New Applications","Ink","National"
"Affiliates","Sapphire Card - New Applications","Sapphire","National"
"Affiliates","Slate Card - New Applications","Slate","National"
"Direct Mail","Business Checking - New Checking Accounts","Consumer","National"
"Direct Mail","Consumer Checking - New Checking Accounts","Consumer","National"
"Direct Mail","Consumer Checking - Total Balances","Consumer","National"
"Direct Mail","Consumer Savings - New Savings Accounts","Consumer","National"
"Direct Mail","Consumer Savings - Total Balances","Consumer","National"
"Direct Mail","Freedom Card - New Applications","Consumer","National"
"Direct Mail","Freedom Card - New Applications","Freedom","National"
"Direct Mail","Ink Card - New Applications","Ink","National"
"Direct Mail","Sapphire Card - New Applications","Sapphire","National"
"Direct Mail","Slate Card - New Applications","Slate","National"
"Magazine","Consumer Checking - New Checking Accounts","Card Total","National"
"Magazine","Consumer Checking - New Checking Accounts","Retail Total","National"
"Magazine","Consumer Checking - Total Balances","Retail Total","National"
"Magazine","Consumer Savings - Total Balances","Retail Total","National"
"Magazine","Freedom Card - New Applications","Freedom","National"
"Magazine","Sapphire Card - New Applications","Sapphire","National"
"Newspaper","Business Checking - New Checking Accounts","Business","National"
"Newspaper","Consumer Checking - New Checking Accounts","Card Total","National"
"Newspaper","Consumer Checking - New Checking Accounts","Retail Total","National"
"Newspaper","Consumer Savings - New Savings Accounts","Corporate Total","National"
"Newspaper","Consumer Savings - New Savings Accounts","Retail Total","National"
"Newspaper","Consumer Savings - Total Balances","Retail Total","National"
"Newspaper","Sapphire Card - New Applications","Partner","National"
"Online Display","Business Checking - New Checking Accounts","Business","National"
"Online Display","Business Checking - New Checking Accounts","Ink","National"
"Online Display","Consumer Checking - New Checking Accounts","Consumer","National"
"Online Display","Consumer Checking - New Checking Accounts","Retail Other","National"
"Online Display","Consumer Checking - Total Balances","Retail Total","National"
"Online Display","Consumer Savings - New Savings Accounts","Retail Total","National"
"Online Display","Consumer Savings - Total Balances","Retail Total","National"
"Online Display","Freedom Card - New Applications","Freedom","National"
"Online Display","Ink Card - New Applications","Ink","National"
"Online Display","Sapphire Card - New Applications","Sapphire","National"
"Online Display","Slate Card - New Applications","Freedom","National"
"Online Display","Slate Card - New Applications","Sapphire","National"
"Online Video","Business Checking - New Checking Accounts","Business","National"
"Online Video","Consumer Checking - New Checking Accounts","Retail Total","National"
"Online Video","Consumer Checking - Total Balances","Retail Total","National"
"Online Video","Consumer Savings - New Savings Accounts","Retail Total","National"
"Online Video","Consumer Savings - Total Balances","Retail Total","National"
"Online Video","Freedom Card - New Applications","Freedom","National"
"Online Video","Sapphire Card - New Applications","Sapphire","National"
"Outdoor","Consumer Checking - New Checking Accounts","Retail Total","National"
"Outdoor","Consumer Savings - New Savings Accounts","Retail Total","National"
"Outdoor","Consumer Savings - Total Balances","Retail Total","National"
"Paid Search","Business Checking - New Checking Accounts","Consumer","National"
"Paid Search","Consumer Checking - New Checking Accounts","Retail Total","National"
"Paid Search","Consumer Checking - Total Balances","Retail Total","National"
"Paid Search","Consumer Savings - New Savings Accounts","Retail Total","National"
"Paid Search","Consumer Savings - Total Balances","Retail Total","National"
"Paid Search","Freedom Card - New Applications","Consumer","National"
"Paid Search","Freedom Card - New Applications","Multicard","National"
"Paid Search","Ink Card - New Applications","Ink","National"
"Paid Search","Ink Card - New Applications","Multicard","National"
"Paid Search","Sapphire Card - New Applications","Multicard","National"
"Paid Search","Sapphire Card - New Applications","Partner","National"
"Paid Search","Slate Card - New Applications","Multicard","National"
"Paid Search","Slate Card - New Applications","Partner","National"
"Radio","Business Checking - New Checking Accounts","Business","National"
"Radio","Consumer Checking - New Checking Accounts","Consumer","National"
"Radio","Consumer Savings - New Savings Accounts","Consumer","National"
"Radio","Consumer Savings - Total Balances","Consumer","National"
"Television","Business Checking - New Checking Accounts","Consumer","National"
"Television","Business Checking - New Checking Accounts","Ink","National"
"Television","Consumer Checking - New Checking Accounts","Card Total","National"
"Television","Consumer Checking - New Checking Accounts","Retail Total","National"
"Television","Consumer Checking - Total Balances","Retail Total","National"
"Television","Consumer Savings - New Savings Accounts","Card Total","National"
"Television","Consumer Savings - New Savings Accounts","Consumer","National"
"Television","Consumer Savings - Total Balances","Consumer","National"
"Television","Freedom Card - New Applications","Consumer","National"
"Television","Freedom Card - New Applications","Freedom","National"
"Television","Freedom Card - New Applications","Sapphire","National"
"Television","Ink Card - New Applications","Ink","National"
"Television","Sapphire Card - New Applications","Freedom","National"
"Television","Sapphire Card - New Applications","Sapphire","National"
"Television","Slate Card - New Applications","Freedom","National"
"Trade Magazine","Consumer Savings - New Savings Accounts","Retail Total","National"
