week_id,sales1_name,factor
1,Total Sales,147857228.9
2,Total Sales,207967232.3
3,Total Sales,231721346.7
4,Total Sales,164358038.2
5,Total Sales,197233211.6
6,Total Sales,300257125.6
7,Total Sales,269310426.4
8,Total Sales,188059914.2
9,Total Sales,315938263.6
10,Total Sales,359780825.7
11,Total Sales,275495931.3
12,Total Sales,330176248.7
13,Total Sales,244077596
14,Total Sales,216316605.6
15,Total Sales,305979554.9
16,Total Sales,300221872
17,Total Sales,307925931.3
18,Total Sales,276098327
19,Total Sales,320777669.9
20,Total Sales,322306904.4
21,Total Sales,301897956.3
22,Total Sales,324273222.2
23,Total Sales,296297241.7
24,Total Sales,272292724.5
25,Total Sales,312042190.3
26,Total Sales,212111556.1
27,Total Sales,255460343.3
28,Total Sales,331347863.8
29,Total Sales,235086998.1
30,Total Sales,307869197.3
31,Total Sales,365490072.4
32,Total Sales,425610781.7
33,Total Sales,289597149.7
34,Total Sales,263093159.5
35,Total Sales,237498268.5
36,Total Sales,342473736.2
37,Total Sales,303362618.6
38,Total Sales,296403570.7
39,Total Sales,345529093.3
40,Total Sales,274609824.9
41,Total Sales,348070444.6
42,Total Sales,377645663.2
43,Total Sales,250460980.7
44,Total Sales,333747624.9
45,Total Sales,499002112.7
46,Total Sales,403880381.2
47,Total Sales,798102332.8
48,Total Sales,612573984.5
49,Total Sales,700960135.4
50,Total Sales,853337297.1
51,Total Sales,536305713.4
52,Total Sales,265211721.5
